"dsiid","val"
22154,1
2552,1
2554,2.81818181818182
2555,7
2564,2.4
2565,100.5
2572,72.3
2573,96
2574,32.9090909090909
2593,10.3
2604,59.3333333333333
2607,5.22222222222222
2609,11.2222222222222
2548,4.81818181818182
2611,4.55555555555556
2546,4.36363636363636
2515,1.5
2705,4.6
2715,5.5
2716,3.4
2719,5.11111111111111
2720,4.4
2473,7.18181818181818
2480,2
2731,9.54545454545454
2746,4.6
2748,6.6
2522,3.8
2614,4.45454545454545
2798,2.9
2833,4.90909090909091
2835,11.5
2836,3.4
2844,2
2845,2.57142857142857
2847,5
2848,6.71428571428571
2854,1
2857,1
2920,4.2
2795,1.6
2808,4.625
2628,19
2629,1
2631,1.66666666666667
2640,7.72727272727273
2822,1
2704,3.55555555555556
2703,3.375
2088,1
2090,6
2092,2
2100,2.6
2102,4.9
2103,12.8888888888889
2106,69.8
2108,4.88888888888889
2111,1
2117,1
2121,1
2122,3.8
2123,3.22222222222222
2149,5.36363636363636
2151,1
2160,3.5
2164,1
2389,1
2179,1
2186,1
2340,1
2189,3.875
2281,1
2321,1.5
2333,7.09090909090909
2252,1
2253,4
2254,3.22222222222222
2255,6.81818181818182
2256,15.8181818181818
2257,12
2258,10.6363636363636
2199,1
2439,3.5
2441,1
2461,4.5
2678,4.27272727272727
2462,1.5
2680,5.1
2682,1.25
2437,3.18181818181818
2202,1
2209,4.90909090909091
2220,7
2221,1
2412,1
2222,1
2415,1
2416,1
2417,2.33333333333333
2225,2.9
2235,1
2924,3.8
3168,4
3172,1
3174,2
3175,1.33333333333333
3253,2.5
3268,1
3269,2.71428571428571
3394,1
3402,4.63636363636364
3417,6
3432,6.8
3164,1.5
3223,1
3112,2.25
3128,3.125
3203,1
3204,1
3209,2
3210,4.6
3214,2.25
3130,1
3141,3.09090909090909
3147,3
3146,1
3148,1
3158,3.54545454545455
3429,5.27272727272727
3437,1.33333333333333
3438,2.42857142857143
3467,1
3468,1
3286,4.6
3428,4
3433,4.36363636363636
3434,2.6
3427,1
3193,1
2973,1
2974,2.4
2649,3
2650,1
2972,3.63636363636364
2929,1
2931,2
2934,3.28571428571429
2939,2.8
2946,3.6
2953,1.42857142857143
3017,1
2956,1
2960,3.36363636363636
3186,5
3187,1.83333333333333
3095,4.1
3098,3.14285714285714
3093,1
3036,1
3045,1
3046,1
3050,3.63636363636364
3056,4
3057,7.45454545454545
3076,4.66666666666667
3077,4.27272727272727
3080,1
3081,1
2662,1.25
2319,2.6
2309,1
1359,4.71428571428571
1261,2.25
1362,1
1266,1
1268,5.54545454545455
1270,2.5
1375,1.66666666666667
1409,1
1410,36.5454545454545
1418,1
1420,1
1423,1.33333333333333
1438,19.2222222222222
1291,19.875
1292,2.22222222222222
1300,1.33333333333333
1249,2
1302,1.875
1205,3.9
1206,4.09090909090909
1217,9.55555555555556
1225,79.7272727272727
1228,1
1243,58.3
1247,103.444444444444
1315,1.33333333333333
1471,1.33333333333333
1472,28.2727272727273
1475,25.1666666666667
1481,12.2
1318,2.4
1326,8.1
1332,1
1333,1
1463,2.33333333333333
1467,1.6
1470,2
1203,1
1202,1
1195,1.66666666666667
1187,1
1000,1
1002,1
1003,3
1004,1.5
1005,1
1006,1
1008,1
1013,1.66666666666667
1017,1
1018,1
1021,1.33333333333333
1022,1.66666666666667
999,1
998,1
785,1
791,1.33333333333333
804,22.5454545454545
810,2.66666666666667
829,1
832,3
839,1
944,5.625
965,3.57142857142857
970,3.6
977,2.8
987,1
990,1
993,2
1023,1
1102,2.44444444444444
1103,3.66666666666667
1105,2.875
1110,19.6363636363636
1113,7.875
1118,1.2
1119,15.5454545454545
1122,1
1126,1
1131,1.5
1132,1.66666666666667
1142,4.4
1144,1
1151,1
1153,1
1166,1.5
1167,1
1101,2
1025,1.25
1027,1
1031,3
1032,1
1034,1
1036,1
1047,2
1048,2
1051,1.5
1054,1
1070,1
1081,2.5
1082,1
1097,1
1931,2
1953,1
1956,3
1697,1.6
1701,1
1729,1.5
1731,1
1740,1
1741,1
1750,1
1751,1
1987,1.5
1676,1.66666666666667
1924,1
1916,1
1918,1
1920,1
1921,2
1922,1
1671,4.2
1985,19
1986,1
1992,1
2307,1
2308,1
1763,17.8181818181818
2058,1.5
1776,1
1777,1
2068,17.4545454545455
2067,1
2302,1
2330,1
2304,1
2247,1
1913,1
1782,1
1624,1
1790,1
1800,1
1801,1
1802,1
1830,1.5
1611,1
1342,19.7
1600,1
1482,1
1523,3
1524,31.8181818181818
1525,1
1528,1.25
1593,1
1597,1
1598,1.2
1832,1
1833,2.75
1897,2.33333333333333
1898,43.3636363636364
1901,2
1904,1
1905,1
1908,1
1911,5
1912,15.9
1896,1
1894,1
1889,1
1829,1.5
1835,1
1836,2
1837,1
1869,1
1871,1
1630,1
1641,1
1646,1
1651,1.5
1661,2
5256,1
5260,1.33333333333333
5261,1
5263,1
5275,1
5272,1
5224,1
4988,1
4714,1
4715,1
4968,1
5092,1
5095,1
5101,1
5115,14.9
5125,33.9
5126,33
5128,1
5145,4.8
5155,59.9090909090909
5168,1.33333333333333
5179,9.27272727272727
5195,6.83333333333333
5197,3.16666666666667
5198,2.75
4975,1.5
